"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:28:48.119219072 +0000 UTC m=+601.480045574,200,3000,120,syncMap,1.547949073s,2.235180759s,1.44,1.72853149s,1.12,1.547949073s,1.00
2023-01-20 20:28:52.820040501 +0000 UTC m=+606.180867001,200,3000,121,hashMap,1.393835596s,1.535594021s,1.10,1.393835596s,1.00,1.761368133s,1.26
2023-01-20 20:28:58.367210408 +0000 UTC m=+611.728036908,200,3000,122,goMap,1.629110797s,1.629110797s,1.00,1.783645126s,1.09,2.124655239s,1.30
2023-01-20 20:29:03.874680416 +0000 UTC m=+617.236074893,200,3000,123,goMap,1.569206442s,1.569206442s,1.00,2.23564294s,1.42,1.693402351s,1.08
2023-01-20 20:29:08.910153889 +0000 UTC m=+622.271548371,200,3000,124,hashMap,1.526540782s,1.548310689s,1.01,1.526540782s,1.00,1.951796694s,1.28
2023-01-20 20:29:15.624077044 +0000 UTC m=+628.985471523,200,3000,125,goMap,2.019692095s,2.019692095s,1.00,2.178890036s,1.08,2.503515549s,1.24
2023-01-20 20:29:21.294977827 +0000 UTC m=+634.656372304,200,3000,126,syncMap,1.61967942s,1.837826367s,1.13,2.205311415s,1.36,1.61967942s,1.00
2023-01-20 20:29:26.621864847 +0000 UTC m=+639.983259323,200,3000,127,hashMap,1.611364646s,1.914522134s,1.19,1.611364646s,1.00,1.791701121s,1.11
2023-01-20 20:29:32.03582107 +0000 UTC m=+645.397215563,200,3000,128,goMap,1.530337176s,1.530337176s,1.00,1.785905584s,1.17,2.087820861s,1.36
2023-01-20 20:29:38.455945184 +0000 UTC m=+651.815977868,200,3000,129,hashMap,1.780230022s,2.60185779s,1.46,1.780230022s,1.00,2.02653149s,1.14
2023-01-20 20:29:44.234067325 +0000 UTC m=+657.594100016,200,3000,130,hashMap,1.514023929s,2.096316221s,1.38,1.514023929s,1.00,2.153103324s,1.42
2023-01-20 20:29:49.583609108 +0000 UTC m=+662.943641795,200,3000,131,hashMap,1.663443542s,1.974184394s,1.19,1.663443542s,1.00,1.702866418s,1.02
2023-01-20 20:29:54.129605946 +0000 UTC m=+667.489638632,200,3000,132,goMap,1.483948891s,1.483948891s,1.00,1.498792691s,1.01,1.553932771s,1.05
2023-01-20 20:29:58.761076463 +0000 UTC m=+672.121109162,200,3000,133,hashMap,1.408531626s,1.712690378s,1.22,1.408531626s,1.00,1.501569812s,1.07
2023-01-20 20:30:03.621912564 +0000 UTC m=+676.987032937,200,3000,134,goMap,1.550986482s,1.550986482s,1.00,1.559943358s,1.01,1.741174209s,1.12
2023-01-20 20:30:08.233647739 +0000 UTC m=+681.598768132,200,3000,135,hashMap,1.454368849s,1.566851172s,1.08,1.454368849s,1.00,1.577115773s,1.08
2023-01-20 20:30:12.844253958 +0000 UTC m=+686.209374322,200,3000,136,hashMap,1.430027951s,1.573389578s,1.10,1.430027951s,1.00,1.599817394s,1.12
2023-01-20 20:30:17.675207505 +0000 UTC m=+691.040327874,200,3000,137,syncMap,1.464158433s,1.651156366s,1.13,1.707540664s,1.17,1.464158433s,1.00
2023-01-20 20:30:22.103814126 +0000 UTC m=+695.468934499,200,3000,138,hashMap,1.340562539s,1.389996798s,1.04,1.340562539s,1.00,1.689760897s,1.26
2023-01-20 20:30:26.204201041 +0000 UTC m=+699.569321406,200,3000,139,hashMap,1.316633868s,1.329853406s,1.01,1.316633868s,1.00,1.445758899s,1.10
2023-01-20 20:30:30.600869128 +0000 UTC m=+703.965989493,200,3000,140,hashMap,1.36843213s,1.425191996s,1.04,1.36843213s,1.00,1.591194777s,1.16
2023-01-20 20:30:35.0009127 +0000 UTC m=+708.362262928,200,3000,141,hashMap,1.290077221s,1.441056545s,1.12,1.290077221s,1.00,1.656458551s,1.28
2023-01-20 20:30:39.67684117 +0000 UTC m=+713.038191382,200,3000,142,hashMap,1.400628692s,1.691685455s,1.21,1.400628692s,1.00,1.575034673s,1.12
2023-01-20 20:30:43.860583289 +0000 UTC m=+717.221933515,200,3000,143,goMap,1.280288914s,1.280288914s,1.00,1.455008525s,1.14,1.440701372s,1.13
2023-01-20 20:30:48.185173532 +0000 UTC m=+721.546523770,200,3000,144,goMap,1.377547666s,1.377547666s,1.00,1.427387846s,1.04,1.510345093s,1.10
2023-01-20 20:30:53.420323996 +0000 UTC m=+726.781674209,200,3000,145,hashMap,1.673094339s,1.681718692s,1.01,1.673094339s,1.00,1.870994188s,1.12
2023-01-20 20:30:59.429136079 +0000 UTC m=+732.790486291,200,3000,146,goMap,1.523208562s,1.523208562s,1.00,1.981723712s,1.30,2.494849925s,1.64
2023-01-20 20:31:04.908367901 +0000 UTC m=+738.270147912,200,3000,147,hashMap,1.626589344s,1.878865515s,1.16,1.626589344s,1.00,1.96476224s,1.21
2023-01-20 20:31:09.587392752 +0000 UTC m=+742.949172778,200,3000,148,hashMap,1.475707464s,1.597318302s,1.08,1.475707464s,1.00,1.59646719s,1.08
2023-01-20 20:31:14.29839293 +0000 UTC m=+747.660172945,200,3000,149,goMap,1.445912185s,1.445912185s,1.00,1.52279874s,1.05,1.735043076s,1.20
2023-01-20 20:31:19.29070902 +0000 UTC m=+752.652489034,200,3000,150,hashMap,1.553073362s,1.751237044s,1.13,1.553073362s,1.00,1.675167549s,1.08
2023-01-20 20:31:23.470767045 +0000 UTC m=+756.832547059,200,3000,151,hashMap,1.36073275s,1.398445063s,1.03,1.36073275s,1.00,1.412215174s,1.04
2023-01-20 20:31:27.695260299 +0000 UTC m=+761.057040312,200,3000,152,hashMap,1.29092007s,1.47460688s,1.14,1.29092007s,1.00,1.450671081s,1.12
2023-01-20 20:31:32.237271759 +0000 UTC m=+765.599051774,200,3000,153,goMap,1.400291452s,1.400291452s,1.00,1.597398702s,1.14,1.536283719s,1.10
2023-01-20 20:31:36.159240671 +0000 UTC m=+769.521216817,200,3000,154,goMap,1.288688567s,1.288688567s,1.00,1.307546467s,1.01,1.317487784s,1.02
2023-01-20 20:31:40.508913118 +0000 UTC m=+773.870889263,200,3000,155,hashMap,1.392663046s,1.444115425s,1.04,1.392663046s,1.00,1.503786227s,1.08
2023-01-20 20:31:44.621318989 +0000 UTC m=+777.983295137,200,3000,156,hashMap,1.257082871s,1.374650356s,1.09,1.257082871s,1.00,1.47275003s,1.17
2023-01-20 20:31:48.698766967 +0000 UTC m=+782.060743114,200,3000,157,hashMap,1.249102109s,1.370295321s,1.10,1.249102109s,1.00,1.451213681s,1.16
2023-01-20 20:31:52.755472525 +0000 UTC m=+786.117448671,200,3000,158,goMap,1.297248317s,1.297248317s,1.00,1.350117149s,1.04,1.402622352s,1.08
